date,StrikePrice,TheoreticalPrice,qty,sq
2016-07-22,16875.0,335.0008,1,16926.6
2016-07-22,17125.0,249.9999,-2,16926.6
2016-07-22,17375.0,179.9995,1,16926.6
2016-08-01,16625.0,289.9999,1,16926.6
2016-08-01,16875.0,164.9997,-2,16926.6
2016-08-01,17125.0,95.0,1,16926.6
2016-08-29,16750.0,205.0001,1,17011.8
2016-08-29,17000.0,104.9995,-2,17011.8
2016-08-29,17250.0,47.0002,1,17011.8
2016-12-07,18375.0,55.0,1,18867.4
2016-12-07,18625.0,50.0001,-2,18867.4
2016-12-07,18875.0,12.0,1,18867.4
2016-12-13,19375.0,295.0005,1,19182.3
2016-12-13,19625.0,194.9999,-2,19182.3
2016-12-13,19875.0,125.0007,1,19182.3
2016-12-16,19500.0,280.0001,1,19182.3
2016-12-16,19750.0,185.0007,-2,19182.3
2016-12-16,20000.0,115.0008,1,19182.3
2016-12-21,19500.0,244.9996,1,19182.3
2016-12-21,19750.0,145.0,-2,19182.3
2016-12-21,20000.0,80.0005,1,19182.3
2017-01-27,19500.0,234.9996,1,19276.1
2017-01-27,19750.0,130.0001,-2,19276.1
2017-01-27,20000.0,65.0002,1,19276.1
2017-01-30,19375.0,214.9997,1,19276.1
2017-01-30,19625.0,115.0005,-2,19276.1
2017-01-30,19875.0,59.9998,1,19276.1
2017-01-31,19000.0,259.9998,1,19276.1
2017-01-31,19250.0,130.0005,-2,19276.1
2017-01-31,19500.0,60.0003,1,19276.1
2017-02-13,19500.0,309.9995,1,19434.3
2017-02-13,19750.0,195.0003,-2,19434.3
2017-02-13,20000.0,115.0003,1,19434.3
2017-02-15,19500.0,279.9993,1,19434.3
2017-02-15,19750.0,169.9991,-2,19434.3
2017-02-15,20000.0,100.0002,1,19434.3
2017-02-16,19375.0,265.0002,1,19434.3
2017-02-16,19625.0,169.9999,-2,19434.3
2017-02-16,19875.0,94.9999,1,19434.3
2017-02-17,19250.0,244.9994,1,19434.3
2017-02-17,19500.0,154.9994,-2,19434.3
2017-02-17,19750.0,85.0003,1,19434.3
2017-02-23,19375.0,225.0007,1,19434.3
2017-02-23,19625.0,124.9994,-2,19434.3
2017-02-23,19875.0,54.9997,1,19434.3
2017-03-03,19375.0,119.9997,1,19434.3
2017-03-03,19625.0,99.9998,-2,19434.3
2017-03-03,19875.0,36.0,1,19434.3
2017-03-06,19250.0,79.9997,1,19434.3
2017-03-06,19500.0,75.0002,-2,19434.3
2017-03-06,19750.0,24.0002,1,19434.3
2017-03-07,19125.0,30.9999,1,19434.3
2017-03-07,19375.0,90.0,-2,19434.3
2017-03-07,19625.0,23.0,1,19434.3
2017-03-08,19125.0,39.0001,1,19434.3
2017-03-08,19375.0,39.9999,-2,19434.3
2017-03-08,19625.0,8.0,1,19434.3
2017-03-13,19750.0,219.9992,1,18613.3
2017-03-13,20000.0,145.0007,-2,18613.3
2017-03-13,20250.0,84.9994,1,18613.3
2017-03-14,19750.0,209.9994,1,18613.3
2017-03-14,20000.0,135.0001,-2,18613.3
2017-03-14,20250.0,69.9996,1,18613.3
2017-03-15,19625.0,245.0007,1,18613.3
2017-03-15,19875.0,155.0002,-2,18613.3
2017-03-15,20125.0,90.0008,1,18613.3
2017-03-16,19625.0,209.9991,1,18613.3
2017-03-16,19875.0,119.9998,-2,18613.3
2017-03-16,20125.0,69.9998,1,18613.3
2017-03-17,19500.0,359.9996,1,18613.3
2017-03-17,19750.0,125.0005,-2,18613.3
2017-03-17,20000.0,69.9995,1,18613.3
2017-03-22,19125.0,215.0005,1,18613.3
2017-03-22,19375.0,129.9997,-2,18613.3
2017-03-22,19625.0,69.9994,1,18613.3
2017-04-28,19125.0,144.9999,1,19991.3
2017-04-28,19375.0,94.9998,-2,19991.3
2017-04-28,19625.0,29.9996,1,19991.3
2017-05-12,19875.0,255.0005,1,19997.6
2017-05-12,20125.0,149.9995,-2,19997.6
2017-05-12,20375.0,75.0003,1,19997.6
2017-06-02,20125.0,134.9995,1,19997.6
2017-06-02,20375.0,80.0002,-2,19997.6
2017-06-02,20625.0,27.9998,1,19997.6
2017-06-05,20000.0,65.0003,1,19997.6
2017-06-05,20250.0,79.9999,-2,19997.6
2017-06-05,20500.0,25.0002,1,19997.6
2017-06-06,19875.0,65.0002,1,19997.6
2017-06-06,20125.0,50.0002,-2,19997.6
2017-06-06,20375.0,12.0001,1,19997.6
2017-06-07,19750.0,27.0001,1,19997.6
2017-06-07,20000.0,65.0001,-2,19997.6
2017-06-07,20250.0,11.9999,1,19997.6
2017-06-09,20000.0,320.0009,1,20151.8
2017-06-09,20250.0,164.9995,-2,20151.8
2017-06-09,20500.0,94.9996,1,20151.8
2017-06-14,19875.0,264.9999,1,20151.8
2017-06-14,20125.0,165.0005,-2,20151.8
2017-06-14,20375.0,85.0006,1,20151.8
2017-06-15,19875.0,239.9995,1,20151.8
2017-06-15,20125.0,129.9995,-2,20151.8
